area,year,sqft
Allston,2010,28050
Allston,2011,241506
Allston,,
Allston,2013,746881
Allston,2014,270660
Allston,2015,197906
Allston,2016,1170100
Back Bay,2010,709140
Back Bay,2011,1186650
Back Bay,,
Back Bay,2013,2102870
Back Bay,2014,16343
Back Bay,2015,665535
Back Bay,,
 Beacon Hill ,,
 Beacon Hill ,,
 Beacon Hill ,2012,44000
 Beacon Hill ,,
 Beacon Hill ,,
 Beacon Hill ,2015,119000
 Beacon Hill ,2016,163000
Brighton,2010,177048
Brighton,2011,171694
Brighton,2012,2075406
Brighton,2013,633601
Brighton,2014,671170
Brighton,2015,369136
Brighton,2016,1292930
Charlestown,2010,266066
Charlestown,2011,137700
Charlestown,2012,93264
Charlestown,2013,1416897
Charlestown,2014,180000
Charlestown,2015,309000
Charlestown,,
Dorchester,2010,49071
Dorchester,2011,102000
Dorchester,2012,28000
Dorchester,2013,472564
Dorchester,2014,131475
Dorchester,2015,356583
Dorchester,2016,1973177
Downtown,,
Downtown,2011,797000
Downtown,2012,2780030
Downtown,2013,5736135
Downtown,2014,143815
Downtown,2015,972700
Downtown,2016,1926320
East Boston,2010,327000
East Boston,2011,22000
East Boston,,
East Boston,2013,498000
East Boston,2014,695000
East Boston,2015,1481000
East Boston,,
Fenway,2010,222900
Fenway,2011,1191980
Fenway,2012,658564
Fenway,2013,1260801
Fenway,2014,1710150
Fenway,2015,69560
Fenway,2016,516850
Hyde Park,,
Hyde Park,,
Hyde Park,2012,830683
Hyde Park,2013,95000
Hyde Park,2014,449074
Hyde Park,2015,48800
Hyde Park,,
Jamaica Plain,2010,138630
Jamaica Plain,2011,22700
Jamaica Plain,2012,193000
Jamaica Plain,2013,578056
Jamaica Plain,2014,506360
Jamaica Plain,2015,208003
Jamaica Plain,2016,449323
Longwood Medical,2010,697360
Longwood Medical,2011,440000
Longwood Medical,,
Longwood Medical,2013,474370
Longwood Medical,2014,28582
Longwood Medical,,
Longwood Medical,,
Mattapan,2010,266386
Mattapan,,
Mattapan,2012,33837
Mattapan,2013,72632
Mattapan,2014,53000
Mattapan,,
Mattapan,,
North End,,
North End,,
North End,2012,65000
North End,,
North End,,
North End,,
North End,2016,145000
Mission Hill,2010,169852
Mission Hill,2011,12405
Mission Hill,2012,138760
Mission Hill,2013,715000
Mission Hill,2014,370818
Mission Hill,2015,165059
Mission Hill,2016,81337
Roxbury,2010,229733
Roxbury,2011,38500
Roxbury,2012,188559
Roxbury,2013,870126
Roxbury,2014,388081
Roxbury,2015,448930
Roxbury,2016,581735
Roslindale,2010,164328
Roslindale,,
Roslindale,,
Roslindale,2013,37998
Roslindale,,
Roslindale,2015,39563
Roslindale,,
SB Waterfront,2010,644800
SB Waterfront,2011,2193010
SB Waterfront,2012,1647889
SB Waterfront,2013,1788575
SB Waterfront,2014,2679472
SB Waterfront,2015,1329317
SB Waterfront,2016,2477655
South Boston,2010,709066
South Boston,2011,474853
South Boston,2012,252734
South Boston,2013,405347
South Boston,2014,925836
South Boston,2015,407659
South Boston,2016,1666840
West End,,
West End,,
West End,,
West End,2013,636551
West End,,
West End,2015,612780
West End,2016,536000
South End,2010,526616
South End,,
South End,2012,583315
South End,2013,729817
South End,2014,756300
South End,2015,300934
South End,2016,489805
West Roxbury,2010,52000
West Roxbury,2011,27000
West Roxbury,,
West Roxbury,,
West Roxbury,2014,36000
West Roxbury,2015,251756
West Roxbury,2016,251066
,,